Gene1,Gene2,Score
ENSG00000197122,ENSG00000168610,0.995609
ENSG00000172216,ENSG00000120738,0.986556
ENSG00000177885,ENSG00000096968,0.993209
ENSG00000115415,ENSG00000170345,0.987145
ENSG00000132170,ENSG00000142208,0.987907
ENSG00000177885,ENSG00000169047,0.987187
ENSG00000115325,ENSG00000010810,0.99165
ENSG00000142208,ENSG00000197122,0.997054
ENSG00000137486,ENSG00000197122,0.99419
ENSG00000197122,ENSG00000141480,0.990556
ENSG00000142208,ENSG00000137486,0.994762
ENSG00000142208,ENSG00000141480,0.988239
ENSG00000101336,ENSG00000050820,0.997352
ENSG00000050820,ENSG00000010810,0.990528
ENSG00000050820,ENSG00000099942,0.999375
ENSG00000182866,ENSG00000105369,0.996209
ENSG00000165025,ENSG00000141968,0.968021
ENSG00000105369,ENSG00000007312,0.994307
ENSG00000105369,ENSG00000010810,0.996308
ENSG00000254087,ENSG00000105369,0.960277
ENSG00000115904,ENSG00000099942,0.994036
ENSG00000100485,ENSG00000099942,0.997555
ENSG00000254087,ENSG00000050820,0.993709
ENSG00000182866,ENSG00000110395,0.98764
ENSG00000254087,ENSG00000110395,0.997601
ENSG00000177885,ENSG00000160999,0.975546
ENSG00000172175,ENSG00000198286,0.952788
ENSG00000124181,ENSG00000184304,0.984327
ENSG00000184304,ENSG00000197943,0.950629
ENSG00000141968,ENSG00000167193,0.985449
ENSG00000111859,ENSG00000120899,0.969862
ENSG00000111859,ENSG00000254087,0.9663
ENSG00000110395,ENSG00000160691,0.964721
ENSG00000136573,ENSG00000110395,0.995076
ENSG00000110395,ENSG00000010671,0.996677
ENSG00000175104,ENSG00000161011,0.995448
ENSG00000175104,ENSG00000213341,0.997247
ENSG00000175104,ENSG00000198001,0.983792
ENSG00000134070,ENSG00000172936,0.95584
ENSG00000175104,ENSG00000135341,0.993514
ENSG00000055208,ENSG00000175104,0.991687
ENSG00000184216,ENSG00000198001,0.995228
ENSG00000173039,ENSG00000100906,0.998611
ENSG00000213341,ENSG00000135341,0.992025
ENSG00000082898,ENSG00000132341,0.998297
ENSG00000163932,ENSG00000160691,0.994491
ENSG00000110092,ENSG00000123374,0.996788
ENSG00000147065,ENSG00000067900,0.98742
